2019-07-06 00:23:04.065  INFO [ms1,,,] 1139 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8005 (http) with context path ''
2019-07-06 00:23:04.068  INFO [ms1,,,] 1139 --- [main] org.ms1.msApp1                           : Started msApp1 in 4.284 seconds (JVM running for 5.086)
2019-07-06 00:23:04.365  INFO [ms1,,,] 1139 --- [RMI TCP Connection(1)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-06 00:23:04.365  INFO [ms1,,,] 1139 --- [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-07-06 00:23:04.380  INFO [ms1,,,] 1139 --- [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 15 ms
2019-07-06 00:23:32.859  INFO [ms1,,,] 1139 --- [Thread-14] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-07-06 00:27:20.313  INFO [ms1,,,] 1340 --- [main] org.ms1.msApp1                           : The following profiles are active: dev
2019-07-06 00:27:22.634  INFO [ms1,,,] 1340 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=3ab019b5-2b52-36f6-88c6-5312fd215592
2019-07-06 00:27:22.684  INFO [ms1,,,] 1340 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.ms1.msApp1$Ms2' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:27:23.549  INFO [ms1,,,] 1340 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$ac6e0532] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:27:24.318  INFO [ms1,,,] 1340 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8005 (http)
2019-07-06 00:27:24.395  INFO [ms1,,,] 1340 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-07-06 00:27:24.396  INFO [ms1,,,] 1340 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-07-06 00:27:24.581  INFO [ms1,,,] 1340 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-07-06 00:27:24.581  INFO [ms1,,,] 1340 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4224 ms
2019-07-06 00:27:24.904  WARN [ms1,,,] 1340 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:27:24.905  INFO [ms1,,,] 1340 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:27:24.952  INFO [ms1,,,] 1340 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6d0b0da6
2019-07-06 00:27:25.979  INFO [ms1,,,] 1340 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2019-07-06 00:27:26.515  WARN [ms1,,,] 1340 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:27:26.516  INFO [ms1,,,] 1340 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:27:26.882  INFO [ms1,,,] 1340 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-07-06 00:27:28.219  INFO [ms1,,,] 1340 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 21 endpoint(s) beneath base path '/actuator'
